id,user_id,location_id,duration,start_day,end_day,start_min,end_min,weekday
0,1,0,64.0,0,0,183,248,3
1,1,1,309.0,0,0,272,582,3
2,1,2,899.0,0,1,670,130,3
3,1,3,752.0,4,5,725,38,0
4,1,4,33.0,5,5,38,72,1
5,1,4,64.0,12,12,8,73,1
6,1,5,96.0,18,18,111,208,0
7,1,4,36.0,19,19,17,53,1
8,1,6,34.0,20,20,178,212,2
9,1,2,33.0,20,20,229,263,2
10,1,7,246.0,20,20,307,554,2
11,1,2,1296.0,20,21,554,410,2
12,1,6,167.0,21,21,666,833,3
13,1,7,703.0,21,22,851,114,3
14,1,2,53.0,22,22,237,290,4
15,1,7,133.0,22,22,290,423,4
16,1,8,186.0,22,22,427,614,4
17,1,2,45.0,22,22,631,677,4
18,1,2,297.0,22,22,678,976,4
19,1,7,514.0,22,23,989,63,4
20,1,1,142.0,23,23,68,210,5
21,1,1,636.0,25,25,317,954,0
22,1,2,1056.0,25,26,975,592,0
23,1,2,60.0,26,26,594,654,1
24,1,9,271.0,26,26,708,980,1
25,1,1,547.0,26,27,980,88,1
26,1,1,588.0,27,27,93,682,2
27,1,2,109.0,27,27,693,803,2
28,1,10,855.0,27,28,822,237,2
29,1,2,853.0,29,30,690,104,4
30,1,1,177.0,30,30,114,292,5
31,1,7,1179.0,39,40,691,431,0
32,1,11,211.0,40,40,440,651,1
33,1,3,319.0,40,40,651,971,1
34,1,7,671.0,40,41,971,203,1
35,1,2,702.0,41,41,209,912,2
36,1,7,479.0,41,41,953,1432,2
37,1,1,1244.0,48,49,482,286,2
38,1,2,448.0,49,49,286,734,3
39,1,1,961.0,49,50,743,265,3
40,1,2,212.0,50,50,400,612,4
41,1,7,162.0,158,158,64,227,0
42,1,12,74.0,158,158,243,318,0
43,1,13,199.0,158,158,380,580,0
44,1,13,337.0,158,158,618,956,0
45,1,14,512.0,158,159,966,39,0
46,1,15,32.0,159,159,73,105,1
47,1,13,124.0,159,159,107,231,1
48,1,13,267.0,159,159,269,537,1
49,1,16,1156.0,159,160,589,306,1
50,1,13,216.0,160,160,323,539,2
51,1,7,41.0,160,160,582,624,2
52,1,13,593.0,160,160,630,1223,2
53,1,7,584.0,160,161,1223,367,2
54,1,13,216.0,161,161,367,584,3
55,1,17,68.0,161,161,624,692,3
56,1,7,204.0,161,161,712,917,3
57,1,13,579.0,161,162,937,76,3
58,1,7,160.0,162,162,88,249,4
59,1,18,66.0,162,162,249,316,4
60,1,13,106.0,162,162,360,466,4
61,1,14,40.0,162,162,627,668,4
62,1,14,1077.0,162,163,770,407,4
63,1,19,33.0,163,163,467,501,5
64,1,20,52.0,163,163,629,682,5
65,1,21,40.0,163,163,682,723,5
66,1,14,918.0,163,164,843,322,5
67,1,22,59.0,164,164,504,564,6
68,1,23,80.0,164,164,605,686,6
69,1,14,764.0,164,165,832,157,6
70,1,24,44.0,165,165,228,273,0
71,1,7,60.0,165,165,357,418,0
72,1,13,59.0,165,165,424,483,0
73,1,25,98.0,165,165,489,588,0
74,1,25,45.0,165,165,594,639,0
75,1,2,463.0,168,169,1117,141,3
76,1,13,309.0,169,169,146,455,4
77,1,26,250.0,169,169,535,786,4
78,1,13,182.0,169,169,843,1025,4
79,1,2,735.0,169,170,1031,327,4
80,1,13,56.0,170,170,384,441,5
81,1,26,264.0,170,170,522,786,5
82,1,13,184.0,170,170,852,1036,5
83,1,2,447.0,170,171,1043,51,5
84,1,13,396.0,171,171,57,454,6
85,1,26,259.0,171,171,526,786,6
86,1,13,186.0,171,171,850,1036,6
87,1,2,706.0,171,172,1043,310,6
88,1,13,99.0,172,172,355,454,0
89,1,26,263.0,172,172,522,786,0
90,1,13,39.0,172,172,848,888,0
91,1,2,408.0,172,172,893,1302,0
92,1,26,351.0,172,173,1371,283,0
93,1,13,229.0,173,173,365,595,1
94,1,5,50.0,173,173,691,741,1
95,1,27,640.0,173,174,814,15,1
96,1,28,436.0,174,174,24,460,2
97,1,29,51.0,174,174,502,553,2
98,1,13,31.0,174,174,568,600,2
99,1,13,827.0,174,175,639,27,2
100,1,30,226.0,175,175,29,255,3
101,1,31,132.0,175,175,320,453,3
102,1,13,50.0,175,175,469,520,3
103,1,18,80.0,175,175,530,611,3
104,1,7,84.0,175,175,612,697,3
105,1,13,229.0,175,175,702,931,3
106,1,7,529.0,175,176,942,31,3
107,1,32,226.0,176,176,37,264,4
108,1,13,253.0,176,176,313,566,4
109,1,14,441.0,177,178,1053,54,5
110,1,5,47.0,178,178,74,122,6
111,1,33,39.0,178,178,246,285,6
112,1,34,319.0,178,178,294,613,6
113,1,29,50.0,178,178,659,710,6
114,1,13,347.0,178,178,730,1077,6
115,1,7,453.0,178,179,1088,102,6
116,1,13,134.0,179,179,109,243,0
117,1,13,304.0,179,179,276,581,0
118,1,13,306.0,179,179,625,931,0
119,1,14,495.0,179,179,938,1434,0
120,1,13,238.0,180,180,7,246,1
